"route","character","routeId","count","likeScore","id","season","enemy_character_count"
"8, 2, 7, 5",10,412016,1,0,4415,3,"{0,1,0,0,1,0,1,0,0,0,1,3,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 2, 12",1,1088,1,0,4417,0,"{0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 9, 8, 3",11,321867,1,0,4419,3,"{0,2,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 11, 14, 7",9,358691,1,0,4422,3,"{0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 6, 1, 12, 3",21,411728,2,0,4420,3,"{0,1,2,0,1,0,0,0,0,3,2,1,0,1,1,0,1,0,2,0,2,4,1,1,0,0,1,0,2,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 4, 1, 5",21,388407,6,0,4413,0,"{0,10,3,4,4,0,2,5,2,3,5,7,2,2,2,1,2,2,4,2,2,4,4,4,0,2,1,2,1,1,1,3,2,6,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 12, 14, 5, 9, 15",16,391584,4,0,4394,0,"{0,5,0,4,2,1,3,2,3,2,2,2,0,1,3,1,1,0,3,1,0,5,5,3,0,0,0,2,3,2,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 6, 1, 11, 8",21,413735,5,0,4399,3,"{0,7,4,2,4,1,2,4,0,3,2,6,2,1,3,3,1,0,4,1,1,3,3,7,0,0,2,2,5,3,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"14, 2, 9, 8, 11, 10",4,386950,2,0,9687,5,"{0,2,1,1,3,0,1,1,0,2,1,3,0,0,0,0,0,1,2,1,0,1,6,0,1,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 2, 7, 9, 5",3,360688,4,0,4416,0,"{0,3,2,2,0,0,2,3,0,1,2,5,3,1,3,0,1,1,3,2,2,5,6,4,0,2,0,3,2,1,0,1,0,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 12, 3",29,389380,3,0,5315,3,"{0,4,1,7,1,0,0,2,1,3,4,3,1,1,2,0,2,1,0,1,0,3,3,2,0,2,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"4, 14, 13, 1",23,289484,4,4,4400,0,"{0,2,4,2,1,2,0,1,1,1,3,6,0,0,4,0,1,0,2,0,1,2,5,1,0,1,1,1,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"14, 9, 2, 8, 7",19,414468,3,0,4423,3,"{0,4,0,3,0,0,1,5,0,4,1,7,0,0,1,1,0,0,2,0,0,3,3,6,0,2,2,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 8, 10, 7, 3",11,364129,1,0,5325,3,"{0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 8, 1, 14, 9",3,390338,1,3,5327,3,"{0,1,0,1,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"5, 12, 7, 9",4,214158,1,175,5513,3,"{0,0,1,1,2,1,0,0,0,0,1,2,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 8, 1",6,374212,31,5,3484,0,"{0,33,12,23,2,5,6,20,8,8,17,28,11,3,18,10,18,8,24,11,5,25,32,22,7,21,3,8,7,8,11,28,16,27,15,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 8, 4, 14",27,368958,8,13,5511,0,"{0,14,5,7,0,1,4,2,1,1,2,7,5,1,11,3,1,2,4,0,2,6,8,1,1,0,1,5,3,0,0,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"1, 4, 3, 12",28,339693,6,40,5328,0,"{0,4,2,2,0,1,0,5,1,1,2,5,1,1,0,0,0,0,4,3,0,3,1,1,0,1,0,1,2,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 11, 14, 5",33,407849,2,358,5318,0,"{0,1,1,2,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"6, 12, 14, 5, 7, 15",29,393779,1,0,5632,3,"{0,2,1,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 6, 7, 5, 15",22,368899,99,0,4184,0,"{0,123,50,48,31,14,26,57,13,23,51,116,24,17,33,27,21,17,57,21,22,66,68,55,26,39,13,32,32,17,23,70,15,61,18,35,22,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 3, 12, 15, 10",10,380015,2,0,5584,3,"{0,3,0,0,0,0,0,2,0,0,1,2,1,0,0,1,0,0,2,0,1,3,4,2,0,2,0,0,2,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 13, 5, 2",33,407554,13,193,5512,0,"{0,13,11,6,1,0,7,14,0,2,6,21,7,2,3,2,2,7,10,3,0,6,11,7,2,6,0,4,3,5,1,5,2,5,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"",6,454063,29,0,5317,0,"{0,30,19,28,9,7,6,28,7,8,10,38,12,9,11,11,3,6,17,10,10,31,33,18,4,13,3,16,5,3,9,21,5,18,3,9,5,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 3, 4, 11, 1",6,380940,27,27,5321,0,"{0,30,19,8,6,1,7,15,5,9,8,30,10,5,11,9,5,10,8,9,7,30,17,7,7,10,0,5,5,4,10,12,5,9,8,11,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"6, 2, 7, 5, 15",3,94161,4,0,5323,0,"{0,4,2,3,1,1,4,2,0,0,2,4,1,1,1,0,0,1,2,0,2,1,1,0,3,2,1,2,1,2,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 9, 2, 8, 14",28,395694,1,72,7221,4,"{0,1,2,0,1,0,0,1,0,0,1,2,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 14, 5, 7, 2",12,368368,1,0,4425,3,"{0,0,1,0,1,0,0,0,1,0,1,2,0,0,2,0,1,0,3,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 9, 6, 15, 10",4,415003,1,0,4426,3,"{0,1,1,2,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"5, 15, 12, 9",15,407125,1,4,4428,0,"{0,1,1,0,0,0,0,1,0,0,1,2,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 6, 15",29,414626,1,27,4433,3,"{0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 4, 10, 5, 15",22,365004,1,0,4434,0,"{0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 1, 14, 5, 7",31,408642,1,0,4435,0,"{0,1,0,1,0,0,0,0,1,0,0,2,1,0,1,1,0,0,1,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 11, 14, 1, 13",22,401292,2,0,4438,0,"{0,3,1,1,0,0,1,0,2,2,0,0,2,0,2,0,0,2,0,3,1,2,2,1,1,0,0,1,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"5, 12, 15, 7, 10",4,180365,2,17,5326,3,"{0,2,4,0,1,0,2,1,0,1,2,3,1,0,3,0,1,0,2,2,0,1,0,0,0,0,1,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 8, 1, 9",11,419742,4,5,4437,0,"{0,2,4,4,1,0,2,1,0,2,2,6,3,0,3,1,0,2,5,2,0,2,4,3,2,1,0,3,2,2,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 3, 6, 15, 10, 13, 11",12,319365,4,3,4418,0,"{0,4,0,0,1,0,0,0,1,0,1,2,2,1,1,0,0,0,3,1,0,0,2,2,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 3, 6, 15, 10",20,141590,5,0,4430,0,"{0,8,2,4,1,0,1,7,2,0,1,6,1,1,1,2,3,1,3,5,1,2,4,0,1,2,0,0,2,0,2,4,3,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 11, 8, 10",7,145846,16,101,3789,0,"{0,19,3,11,2,2,10,11,3,4,5,16,3,4,8,4,3,5,8,4,7,11,12,11,3,6,0,2,6,2,4,13,1,9,8,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 15, 12, 6",26,387214,228,0,4308,0,"{0,232,112,135,60,28,56,133,42,50,102,222,49,41,113,66,50,40,92,48,46,191,177,133,32,82,37,55,87,37,66,152,49,96,74,120,42,47,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 6, 2, 9, 7",27,412701,5,0,4750,0,"{0,7,3,4,0,1,1,5,0,2,2,4,3,1,3,0,0,1,3,0,1,3,4,0,0,0,0,1,4,2,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 14, 2, 8, 11",28,386650,1,0,5332,3,"{0,1,1,0,1,0,0,1,0,2,1,0,1,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 9, 3, 12, 15",19,228588,1,0,5335,3,"{0,1,0,1,0,0,0,1,0,0,2,1,0,0,1,2,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 11, 14, 4",4,342711,1,0,5336,3,"{0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 12, 6, 11, 2",9,53014,1,0,5343,3,"{0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,4,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 8, 4",2,413514,2,0,5339,3,"{0,1,2,2,2,1,0,1,0,0,0,3,0,0,1,0,1,1,0,0,2,2,5,2,0,2,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"6, 9, 2, 8, 4",30,417587,1,0,5515,3,"{0,0,0,1,2,0,1,0,0,0,2,1,0,1,0,1,0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 2, 7, 15, 10, 6",1,122611,1,0,5583,0,"{0,2,0,1,1,0,0,1,1,0,1,4,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 5, 6, 3",1,356505,1,0,5585,3,"{0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 6, 7, 5, 9",7,350736,2,3,4439,0,"{0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,2,1,1,2,0,0,4,3,3,2,1,2,0,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 12, 3, 6",13,415913,2,25,5333,3,"{0,1,0,3,4,0,1,0,0,0,4,5,0,1,2,1,2,0,1,0,1,0,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 11, 8, 2, 9",3,402487,13,7,4243,0,"{0,14,9,7,2,1,2,9,2,4,9,19,4,4,3,2,3,5,10,4,4,11,15,7,3,8,2,4,2,4,2,15,2,10,4,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"12, 3, 6, 1",10,420236,4,5,5334,0,"{0,8,2,4,2,1,1,2,1,1,5,3,0,0,2,2,0,1,4,1,0,3,4,1,1,0,2,0,2,3,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 4, 14, 1",21,249918,6,0,5340,0,"{0,4,0,3,1,1,0,3,1,2,3,5,1,1,4,2,2,3,4,0,1,2,4,1,1,1,0,1,0,1,2,4,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 2, 9, 5, 7",2,100221,3,0,5337,0,"{0,2,0,1,1,0,0,2,1,0,1,2,2,1,1,2,2,1,1,0,3,2,2,1,0,0,0,1,1,1,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 5, 2, 9",5,402892,11,0,5634,0,"{0,13,10,6,4,1,2,6,4,2,8,12,7,1,7,2,4,2,10,2,1,6,6,7,0,1,1,6,5,4,3,6,3,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 7, 6, 3, 9",3,391020,1,0,4441,3,"{0,1,2,0,1,1,0,1,1,0,1,3,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 2, 8, 3, 1",15,304904,1,5,4444,3,"{0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,1,0,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"12, 15, 10, 5, 7",17,9041,1,0,4451,0,"{0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
